stnname,country_left,country_right
Allée de Lamaze,FRA,FRA
Allée de la Mazurka,FRA,FRA
Allée de la Métairie du Seutre,FRA,FRA
Allée de la Mielle,FRA,FRA
Allée de la Mignauderie,FRA,FRA
Allée de Lamouthe,FRA,FRA
Allée de Lanaou,FRA,FRA
Allée de Lan Armez,FRA,FRA
Allée de Lanauze,FRA,FRA
Allée de l'Andrable,FRA,FRA
Allée de la Nécropole,FRA,FRA
Allée de la Neyra,FRA,FRA
Allée de l'Angebardière,FRA,FRA
Allée de l'Angevine,FRA,FRA
Allée de Lantray,FRA,FRA
Allée de la Peloudrie,FRA,FRA
Allée de la Perrare,FRA,FRA
Allée de la Petite Combre,FRA,FRA
Allée de la Petite Jubertière,FRA,FRA
Allée de la Petite Lande,FRA,FRA
Allée de la Petite Roche,FRA,FRA
Allée de la Pièce de Marine,FRA,FRA
Allée de la Pierre Beaumirault,FRA,FRA
Allée de la Pierrefolle,FRA,FRA
Allée de la Pilule,FRA,FRA
Allée de la Place,FRA,FRA
Allée de la Plaine du Tôt,FRA,FRA
Allée de la Planche Brûlée,FRA,FRA
Allée de Lapoque,FRA,FRA
Allée de la Pourtauderie,FRA,FRA
Allée de la Prairie de la Bionne,FRA,FRA
Allée de la Prairie de Nièvre,FRA,FRA
Allée de la Prison,FRA,FRA
Allée de la Raffinerie de Sucre,FRA,FRA
Allée de l'Ardrésis,FRA,FRA
Allée de la Régagnade,FRA,FRA
Allée de la Reine Blanche,FRA,FRA
Allée de la Résidence du Clos des Girardières,FRA,FRA
Allée de la Réunière,FRA,FRA
Allée de Largileyre,FRA,FRA
Allée de la Ribeault,FRA,FRA
Allée de la Roche d'Argent,FRA,FRA
Allée de la Rollande,FRA,FRA
Allée de la Roye Foulée,FRA,FRA
Allée de la Ruchère,FRA,FRA
Allée de la Ruée,FRA,FRA
Allée de la Sauleraie,FRA,FRA
Allée de la Souveraine,FRA,FRA
Allée de la Tabariais,FRA,FRA
Allée de la Terrienne,FRA,FRA
Allée de la Tissandière,FRA,FRA
Allée de la Touche Aymond,FRA,FRA
Allée de la Treille Muscate,FRA,FRA
Allée de la Tuillerie,FRA,FRA
Allée de la Turte,FRA,FRA
Allée de l'Aumône,FRA,FRA
Allée de l'Auverneau,FRA,FRA
Allée de la Vannetière,FRA,FRA
Allée de la Veuve Lindet Girard,FRA,FRA
Allée de la Vieille France,FRA,FRA
Allée de la Vigne aux Moines,FRA,FRA
Allée de la Vignourie,FRA,FRA
Allée de la Ville ès Mariaux,FRA,FRA
Allée de la Ville Hérice,FRA,FRA
Allée de Lavilleneuve,FRA,FRA
Allée de la Ville Pélerin,FRA,FRA
Allée de la Vinette,FRA,FRA
Allée de la Zorn,FRA,FRA
Allée de l'Écume,FRA,FRA
Allée de Légeard,FRA,FRA
Allée de l'Église de Saint-Pierre,FRA,FRA
Allée de l'Église Sainte-Anne de Castelle,FRA,FRA
Allée de l'Eichmatt,FRA,FRA
Allée de l'Élagueur,FRA,FRA
Allée de l'Encan,FRA,FRA
Allée de l'Envolée,FRA,FRA
Allée de Lescourt,FRA,FRA
Allée de l'Escure,FRA,FRA
Allée de Lestif,FRA,FRA
Allée de l'Étang de Campen,FRA,FRA
Allée de l'Étang Vieux,FRA,FRA
Allée de l'Évasion,FRA,FRA
Allée de l'Herbage Brûlé,FRA,FRA
Allée de l'Hilaire au Blé,FRA,FRA
Allée de l'Hippocampe,FRA,FRA
Allée de l'Homme Rouge,FRA,FRA
Allée de l'Humanitude,FRA,FRA
Allée de l'Île de France,FRA,FRA
Allée de l'Impradine,FRA,FRA
Allée de l'Obier,FRA,FRA
Allée de l'Oliverie,FRA,FRA
Allée de l'Ombrelle Rouge,FRA,FRA
Allée de l'Ormes,FRA,FRA
Allée de Louron,FRA,FRA
Allée de Lunéville,FRA,FRA
Allée de Malbabeurre,FRA,FRA
Allée de Maletrenne,FRA,FRA
Allée de Malrigou,FRA,FRA
Allée de Martinon,FRA,FRA
Allée de Maupassant,FRA,FRA
Allée de Mayne des Sables,FRA,FRA
Allée de Megève,FRA,FRA
Allée de Mégevie,FRA,FRA
Allée de Men Bret,FRA,FRA
Allée de Merley,FRA,FRA
Allée de Messine,FRA,FRA
